filename,ra,dec,lag_ms,lag_error,is_significant,lag_type
glg_tte_n9_bn110407998_v00.fit,94.1,-17.117,3841.657901159013,1.0,True,positive
glg_tte_n9_bn110909116_v00.fit,346.640625,-23.643314255765596,49730.23511434848,1.0,True,positive
glg_tte_n9_bn170903534_v02.fit,251.9833,32.6,-2210.202123886858,1.0,True,negative
glg_tte_n9_bn170910368_v00.fit,243.8833,-5.1,-3869.048505188168,1.0,True,negative
glg_tte_n9_bn170911267_v00.fit,30.7,22.133,-11600.76099712641,1.0,True,negative
glg_tte_n9_bn170912273_v00.fit,211.3833,-56.817,178.94736023018336,1.0,True,positive
glg_tte_n9_bn170912985_v00.fit,84.9,15.4,-62689.53036286551,1.0,True,negative
glg_tte_n9_bn170915161_v00.fit,110.2333,-36.967,-4659.266110457512,1.0,True,negative
glg_tte_n9_bn170915520_v00.fit,263.6667,-25.233,49240.91951793599,1.0,True,positive
glg_tte_n9_bn170916700_v00.fit,96.8833,9.017,5351.841581810498,1.0,True,positive
glg_tte_n9_bn170918139_v00.fit,52.9833,-23.8,-8758.945876664915,1.0,True,negative
glg_tte_n9_bn170921168_v00.fit,131.85,51.633,-6650.931927893736,1.0,True,negative
glg_tte_n9_bn170923101_v00.fit,123.6333,-62.1,33108.855124657064,1.0,True,positive
glg_tte_n9_bn170923188_v00.fit,282.1,85.733,-55229.47781755755,1.0,True,negative
glg_tte_n9_bn170923566_v00.fit,217.0833,-12.117,30079.46145757747,1.0,True,positive
glg_tte_n9_bn170926528_v00.fit,159.2833,-9.183,1569.0768495709297,1.0,True,positive
glg_tte_n9_bn170926782_v00.fit,337.2,-21.417,22059.915956794182,1.0,True,positive
glg_tte_n9_bn170928607_v00.fit,297.9833,38.417,3129.9305188400112,1.0,True,positive
glg_tte_n9_bn170929513_v00.fit,188.4833,21.1,-1868.8440591567094,1.0,True,negative
glg_tte_n9_bn170929699_v00.fit,31.7833,20.1,11990.04440337208,1.0,True,positive
glg_tte_n9_bn171002969_v00.fit,178.7833,31.183,-32570.62352265705,1.0,True,negative
glg_tte_n9_bn171004672_v00.fit,56.1167,-41.183,5210.343116931512,1.0,True,positive
glg_tte_n9_bn171004857_v00.fit,49.65,-59.45,-23270.627860151148,1.0,True,negative
glg_tte_n9_bn171007498_v00.fit,88.0667,69.417,9151.220467845715,1.0,True,positive
glg_tte_n9_bn171008080_v00.fit,226.3333,43.017,-33902.34361484842,1.0,True,negative
glg_tte_n9_bn171009138_v00.fit,343.35,38.983,18529.75872848823,1.0,True,positive
glg_tte_n9_bn171010875_v00.fit,55.6167,-34.017,-40799.7556137224,1.0,True,negative
glg_tte_n9_bn171011162_v00.fit,146.4833,4.783,-46479.67863880164,1.0,True,negative
glg_tte_n9_bn171011810_v00.fit,184.0833,-8.15,-53530.83790134798,1.0,True,negative
